Meldungen	Saison	Erkrankung	Altersgruppe	Region	Kalenderwoche	Inzidenz
313	2010/11	ILI	00+	Osten	2011-W25	1135
763	2010/11	ILI	15+	Bundesweit	2011-W25	414
939	2010/11	ILI	00+	Bundesweit	2011-W25	717
176	2010/11	ILI	0-14	Bundesweit	2011-W25	2764
56	2010/11	ARE	0-4	Bundesweit	2011-W26	8748
129	2010/11	ARE	5-14	Bundesweit	2011-W26	1160
196	2010/11	ARE	15-34	Bundesweit	2011-W26	3704
517	2010/11	ARE	35-59	Bundesweit	2011-W26	5191
74	2010/11	ARE	60+	Bundesweit	2011-W26	5252
187	2010/11	ARE	00+	Sueden	2011-W26	2708
343	2010/11	ARE	00+	Mitte (West)	2011-W26	5238
125	2010/11	ARE	00+	Norden (West)	2011-W26	5944
317	2010/11	ARE	00+	Osten	2011-W26	4604
787	2010/11	ARE	15+	Bundesweit	2011-W26	4814
972	2010/11	ARE	00+	Bundesweit	2011-W26	4638
185	2010/11	ARE	0-14	Bundesweit	2011-W26	3456
56	2010/11	ILI	0-4	Bundesweit	2011-W26	1516
129	2010/11	ILI	5-14	Bundesweit	2011-W26	0
196	2010/11	ILI	15-34	Bundesweit	2011-W26	306
517	2010/11	ILI	35-59	Bundesweit	2011-W26	836
74	2010/11	ILI	60+	Bundesweit	2011-W26	0
187	2010/11	ILI	00+	Sueden	2011-W26	282
343	2010/11	ILI	00+	Mitte (West)	2011-W26	419
125	2010/11	ILI	00+	Norden (West)	2011-W26	512
317	2010/11	ILI	00+	Osten	2011-W26	583
787	2010/11	ILI	15+	Bundesweit	2011-W26	459
972	2010/11	ILI	00+	Bundesweit	2011-W26	459
185	2010/11	ILI	0-14	Bundesweit	2011-W26	459
58	2010/11	ARE	0-4	Bundesweit	2011-W27	12301
126	2010/11	ARE	5-14	Bundesweit	2011-W27	1629
202	2010/11	ARE	15-34	Bundesweit	2011-W27	4446
508	2010/11	ARE	35-59	Bundesweit	2011-W27	4094
74	2010/11	ARE	60+	Bundesweit	2011-W27	1722
183	2010/11	ARE	00+	Sueden	2011-W27	5758
345	2010/11	ARE	00+	Mitte (West)	2011-W27	2842
128	2010/11	ARE	00+	Norden (West)	2011-W27	5574
312	2010/11	ARE	00+	Osten	2011-W27	2716
784	2010/11	ARE	15+	Bundesweit	2011-W27	3524
968	2010/11	ARE	00+	Bundesweit	2011-W27	3689
184	2010/11	ARE	0-14	Bundesweit	2011-W27	4802
58	2010/11	ILI	0-4	Bundesweit	2011-W27	2367
126	2010/11	ILI	5-14	Bundesweit	2011-W27	0
202	2010/11	ILI	15-34	Bundesweit	2011-W27	992
508	2010/11	ILI	35-59	Bundesweit	2011-W27	324
74	2010/11	ILI	60+	Bundesweit	2011-W27	0
183	2010/11	ILI	00+	Sueden	2011-W27	1507
345	2010/11	ILI	00+	Mitte (West)	2011-W27	0
128	2010/11	ILI	00+	Norden (West)	2011-W27	275
312	2010/11	ILI	00+	Osten	2011-W27	418
784	2010/11	ILI	15+	Bundesweit	2011-W27	414
968	2010/11	ILI	00+	Bundesweit	2011-W27	451
184	2010/11	ILI	0-14	Bundesweit	2011-W27	704
59	2010/11	ARE	0-4	Bundesweit	2011-W28	12551
131	2010/11	ARE	5-14	Bundesweit	2011-W28	6376
203	2010/11	ARE	15-34	Bundesweit	2011-W28	6819
525	2010/11	ARE	35-59	Bundesweit	2011-W28	5599
73	2010/11	ARE	60+	Bundesweit	2011-W28	1069
197	2010/11	ARE	00+	Sueden	2011-W28	8063
356	2010/11	ARE	00+	Mitte (West)	2011-W28	5859
132	2010/11	ARE	00+	Norden (West)	2011-W28	3743
306	2010/11	ARE	00+	Osten	2011-W28	3049
801	2010/11	ARE	15+	Bundesweit	2011-W28	4676
991	2010/11	ARE	00+	Bundesweit	2011-W28	5125
190	2010/11	ARE	0-14	Bundesweit	2011-W28	8180
59	2010/11	ILI	0-4	Bundesweit	2011-W28	0
131	2010/11	ILI	5-14	Bundesweit	2011-W28	2738
203	2010/11	ILI	15-34	Bundesweit	2011-W28	1584
525	2010/11	ILI	35-59	Bundesweit	2011-W28	1520
73	2010/11	ILI	60+	Bundesweit	2011-W28	0
197	2010/11	ILI	00+	Sueden	2011-W28	2846
356	2010/11	ILI	00+	Mitte (West)	2011-W28	890
132	2010/11	ILI	00+	Norden (West)	2011-W28	964
306	2010/11	ILI	00+	Osten	2011-W28	718
801	2010/11	ILI	15+	Bundesweit	2011-W28	1116
991	2010/11	ILI	00+	Bundesweit	2011-W28	1222
190	2010/11	ILI	0-14	Bundesweit	2011-W28	1939
62	2010/11	ARE	0-4	Bundesweit	2011-W29	11217
134	2010/11	ARE	5-14	Bundesweit	2011-W29	7855
202	2010/11	ARE	15-34	Bundesweit	2011-W29	6359
528	2010/11	ARE	35-59	Bundesweit	2011-W29	4431
