Meldungen	Saison	Erkrankung	Altersgruppe	Region	Kalenderwoche	Inzidenz
1956	2011/12	ARE	15+	Bundesweit	2012-W16	4057
2577	2011/12	ARE	00+	Bundesweit	2012-W16	4406
621	2011/12	ARE	0-14	Bundesweit	2012-W16	6677
174	2011/12	ILI	0-4	Bundesweit	2012-W16	2452
447	2011/12	ILI	5-14	Bundesweit	2012-W16	948
430	2011/12	ILI	15-34	Bundesweit	2012-W16	336
1218	2011/12	ILI	35-59	Bundesweit	2012-W16	1195
308	2011/12	ILI	60+	Bundesweit	2012-W16	506
572	2011/12	ILI	00+	Sueden	2012-W16	815
960	2011/12	ILI	00+	Mitte (West)	2012-W16	545
388	2011/12	ILI	00+	Norden (West)	2012-W16	993
657	2011/12	ILI	00+	Osten	2012-W16	1232
1956	2011/12	ILI	15+	Bundesweit	2012-W16	756
2577	2011/12	ILI	00+	Bundesweit	2012-W16	845
621	2011/12	ILI	0-14	Bundesweit	2012-W16	1422
169	2011/12	ARE	0-4	Bundesweit	2012-W17	16649
461	2011/12	ARE	5-14	Bundesweit	2012-W17	7765
416	2011/12	ARE	15-34	Bundesweit	2012-W17	5597
1210	2011/12	ARE	35-59	Bundesweit	2012-W17	4407
311	2011/12	ARE	60+	Bundesweit	2012-W17	2860
585	2011/12	ARE	00+	Sueden	2012-W17	5140
946	2011/12	ARE	00+	Mitte (West)	2012-W17	4641
379	2011/12	ARE	00+	Norden (West)	2012-W17	4788
657	2011/12	ARE	00+	Osten	2012-W17	5954
1937	2011/12	ARE	15+	Bundesweit	2012-W17	4266
2567	2011/12	ARE	00+	Bundesweit	2012-W17	5106
630	2011/12	ARE	0-14	Bundesweit	2012-W17	10565
169	2011/12	ILI	0-4	Bundesweit	2012-W17	5532
461	2011/12	ILI	5-14	Bundesweit	2012-W17	2740
416	2011/12	ILI	15-34	Bundesweit	2012-W17	305
1210	2011/12	ILI	35-59	Bundesweit	2012-W17	536
311	2011/12	ILI	60+	Bundesweit	2012-W17	0
585	2011/12	ILI	00+	Sueden	2012-W17	639
946	2011/12	ILI	00+	Mitte (West)	2012-W17	478
379	2011/12	ILI	00+	Norden (West)	2012-W17	650
657	2011/12	ILI	00+	Osten	2012-W17	1335
1937	2011/12	ILI	15+	Bundesweit	2012-W17	313
2567	2011/12	ILI	00+	Bundesweit	2012-W17	754
630	2011/12	ILI	0-14	Bundesweit	2012-W17	3620
171	2011/12	ARE	0-4	Bundesweit	2012-W18	11964
456	2011/12	ARE	5-14	Bundesweit	2012-W18	6002
430	2011/12	ARE	15-34	Bundesweit	2012-W18	5109
1207	2011/12	ARE	35-59	Bundesweit	2012-W18	3523
308	2011/12	ARE	60+	Bundesweit	2012-W18	2268
598	2011/12	ARE	00+	Sueden	2012-W18	4549
925	2011/12	ARE	00+	Mitte (West)	2012-W18	5274
383	2011/12	ARE	00+	Norden (West)	2012-W18	4635
666	2011/12	ARE	00+	Osten	2012-W18	1853
1945	2011/12	ARE	15+	Bundesweit	2012-W18	3578
2572	2011/12	ARE	00+	Bundesweit	2012-W18	4141
627	2011/12	ARE	0-14	Bundesweit	2012-W18	7867
171	2011/12	ILI	0-4	Bundesweit	2012-W18	5059
456	2011/12	ILI	5-14	Bundesweit	2012-W18	2895
430	2011/12	ILI	15-34	Bundesweit	2012-W18	1162
1207	2011/12	ILI	35-59	Bundesweit	2012-W18	1113
308	2011/12	ILI	60+	Bundesweit	2012-W18	415
598	2011/12	ILI	00+	Sueden	2012-W18	1110
925	2011/12	ILI	00+	Mitte (West)	2012-W18	2092
383	2011/12	ILI	00+	Norden (West)	2012-W18	385
666	2011/12	ILI	00+	Osten	2012-W18	755
1945	2011/12	ILI	15+	Bundesweit	2012-W18	918
2572	2011/12	ILI	00+	Bundesweit	2012-W18	1266
627	2011/12	ILI	0-14	Bundesweit	2012-W18	3572
175	2011/12	ARE	0-4	Bundesweit	2012-W19	10023
460	2011/12	ARE	5-14	Bundesweit	2012-W19	6579
419	2011/12	ARE	15-34	Bundesweit	2012-W19	4417
1215	2011/12	ARE	35-59	Bundesweit	2012-W19	3988
303	2011/12	ARE	60+	Bundesweit	2012-W19	3122
582	2011/12	ARE	00+	Sueden	2012-W19	4737
938	2011/12	ARE	00+	Mitte (West)	2012-W19	4659
384	2011/12	ARE	00+	Norden (West)	2012-W19	4274
668	2011/12	ARE	00+	Osten	2012-W19	3555
1937	2011/12	ARE	15+	Bundesweit	2012-W19	3845
2572	2011/12	ARE	00+	Bundesweit	2012-W19	4340
635	2011/12	ARE	0-14	Bundesweit	2012-W19	7633
175	2011/12	ILI	0-4	Bundesweit	2012-W19	1104
460	2011/12	ILI	5-14	Bundesweit	2012-W19	691
419	2011/12	ILI	15-34	Bundesweit	2012-W19	861
1215	2011/12	ILI	35-59	Bundesweit	2012-W19	700
303	2011/12	ILI	60+	Bundesweit	2012-W19	702
582	2011/12	ILI	00+	Sueden	2012-W19	837
938	2011/12	ILI	00+	Mitte (West)	2012-W19	672
384	2011/12	ILI	00+	Norden (West)	2012-W19	220
668	2011/12	ILI	00+	Osten	2012-W19	1112
1937	2011/12	ILI	15+	Bundesweit	2012-W19	744
2572	2011/12	ILI	00+	Bundesweit	2012-W19	754
635	2011/12	ILI	0-14	Bundesweit	2012-W19	818
170	2011/12	ARE	0-4	Bundesweit	2012-W20	14284
455	2011/12	ARE	5-14	Bundesweit	2012-W20	6618
418	2011/12	ARE	15-34	Bundesweit	2012-W20	5328
1186	2011/12	ARE	35-59	Bundesweit	2012-W20	5331
294	2011/12	ARE	60+	Bundesweit	2012-W20	3492
562	2011/12	ARE	00+	Sueden	2012-W20	3758
934	2011/12	ARE	00+	Mitte (West)	2012-W20	5226
388	2011/12	ARE	00+	Norden (West)	2012-W20	6276
639	2011/12	ARE	00+	Osten	2012-W20	6374
1898	2011/12	ARE	15+	Bundesweit	2012-W20	4781
2523	2011/12	ARE	00+	Bundesweit	2012-W20	5339
625	2011/12	ARE	0-14	Bundesweit	2012-W20	8992
170	2011/12	ILI	0-4	Bundesweit	2012-W20	5379
455	2011/12	ILI	5-14	Bundesweit	2012-W20	1966
418	2011/12	ILI	15-34	Bundesweit	2012-W20	1794
1186	2011/12	ILI	35-59	Bundesweit	2012-W20	754
294	2011/12	ILI	60+	Bundesweit	2012-W20	1363
562	2011/12	ILI	00+	Sueden	2012-W20	1201
934	2011/12	ILI	00+	Mitte (West)	2012-W20	2068
388	2011/12	ILI	00+	Norden (West)	2012-W20	1227
639	2011/12	ILI	00+	Osten	2012-W20	906
1898	2011/12	ILI	15+	Bundesweit	2012-W20	1217
2523	2011/12	ILI	00+	Bundesweit	2012-W20	1457
625	2011/12	ILI	0-14	Bundesweit	2012-W20	3023
157	2011/12	ARE	0-4	Bundesweit	2012-W21	7598
441	2011/12	ARE	5-14	Bundesweit	2012-W21	4865
417	2011/12	ARE	15-34	Bundesweit	2012-W21	2716
1171	2011/12	ARE	35-59	Bundesweit	2012-W21	3386
301	2011/12	ARE	60+	Bundesweit	2012-W21	2157
551	2011/12	ARE	00+	Sueden	2012-W21	5091
924	2011/12	ARE	00+	Mitte (West)	2012-W21	2596
386	2011/12	ARE	00+	Norden (West)	2012-W21	1746
626	2011/12	ARE	00+	Osten	2012-W21	3408
1889	2011/12	ARE	15+	Bundesweit	2012-W21	2837
2487	2011/12	ARE	00+	Bundesweit	2012-W21	3224
598	2011/12	ARE	0-14	Bundesweit	2012-W21	5726
157	2011/12	ILI	0-4	Bundesweit	2012-W21	1902
441	2011/12	ILI	5-14	Bundesweit	2012-W21	1193
417	2011/12	ILI	15-34	Bundesweit	2012-W21	316
1171	2011/12	ILI	35-59	Bundesweit	2012-W21	479
301	2011/12	ILI	60+	Bundesweit	2012-W21	0
551	2011/12	ILI	00+	Sueden	2012-W21	217
924	2011/12	ILI	00+	Mitte (West)	2012-W21	344
386	2011/12	ILI	00+	Norden (West)	2012-W21	393
626	2011/12	ILI	00+	Osten	2012-W21	833
1889	2011/12	ILI	15+	Bundesweit	2012-W21	292
2487	2011/12	ILI	00+	Bundesweit	2012-W21	442
598	2011/12	ILI	0-14	Bundesweit	2012-W21	1417
167	2011/12	ARE	0-4	Bundesweit	2012-W22	10781
436	2011/12	ARE	5-14	Bundesweit	2012-W22	6377
415	2011/12	ARE	15-34	Bundesweit	2012-W22	6173
1177	2011/12	ARE	35-59	Bundesweit	2012-W22	3051
306	2011/12	ARE	60+	Bundesweit	2012-W22	3370
554	2011/12	ARE	00+	Sueden	2012-W22	5615
926	2011/12	ARE	00+	Mitte (West)	2012-W22	3170
380	2011/12	ARE	00+	Norden (West)	2012-W22	3142
641	2011/12	ARE	00+	Osten	2012-W22	6287
1898	2011/12	ARE	15+	Bundesweit	2012-W22	3994
2501	2011/12	ARE	00+	Bundesweit	2012-W22	4492
603	2011/12	ARE	0-14	Bundesweit	2012-W22	7770
167	2011/12	ILI	0-4	Bundesweit	2012-W22	4855
436	2011/12	ILI	5-14	Bundesweit	2012-W22	1527
415	2011/12	ILI	15-34	Bundesweit	2012-W22	245
1177	2011/12	ILI	35-59	Bundesweit	2012-W22	327
306	2011/12	ILI	60+	Bundesweit	2012-W22	433
554	2011/12	ILI	00+	Sueden	2012-W22	236
926	2011/12	ILI	00+	Mitte (West)	2012-W22	855
380	2011/12	ILI	00+	Norden (West)	2012-W22	218
641	2011/12	ILI	00+	Osten	2012-W22	906
1898	2011/12	ILI	15+	Bundesweit	2012-W22	336
2501	2011/12	ILI	00+	Bundesweit	2012-W22	632
603	2011/12	ILI	0-14	Bundesweit	2012-W22	2580
166	2011/12	ARE	0-4	Bundesweit	2012-W23	9992
439	2011/12	ARE	5-14	Bundesweit	2012-W23	8856
430	2011/12	ARE	15-34	Bundesweit	2012-W23	5699
1173	2011/12	ARE	35-59	Bundesweit	2012-W23	3941
307	2011/12	ARE	60+	Bundesweit	2012-W23	3658
563	2011/12	ARE	00+	Sueden	2012-W23	5758
912	2011/12	ARE	00+	Mitte (West)	2012-W23	4693
376	2011/12	ARE	00+	Norden (West)	2012-W23	4456
664	2011/12	ARE	00+	Osten	2012-W23	4973
1910	2011/12	ARE	15+	Bundesweit	2012-W23	4332
2515	2011/12	ARE	00+	Bundesweit	2012-W23	4973
605	2011/12	ARE	0-14	Bundesweit	2012-W23	9214
166	2011/12	ILI	0-4	Bundesweit	2012-W23	3206
439	2011/12	ILI	5-14	Bundesweit	2012-W23	2448
430	2011/12	ILI	15-34	Bundesweit	2012-W23	1212
1173	2011/12	ILI	35-59	Bundesweit	2012-W23	929
307	2011/12	ILI	60+	Bundesweit	2012-W23	1126
563	2011/12	ILI	00+	Sueden	2012-W23	1719
912	2011/12	ILI	00+	Mitte (West)	2012-W23	1165
376	2011/12	ILI	00+	Norden (West)	2012-W23	1270
664	2011/12	ILI	00+	Osten	2012-W23	1049
1910	2011/12	ILI	15+	Bundesweit	2012-W23	1064
2515	2011/12	ILI	00+	Bundesweit	2012-W23	1277
605	2011/12	ILI	0-14	Bundesweit	2012-W23	2687
169	2011/12	ARE	0-4	Bundesweit	2012-W24	9410
438	2011/12	ARE	5-14	Bundesweit	2012-W24	5639
424	2011/12	ARE	15-34	Bundesweit	2012-W24	6278
1167	2011/12	ARE	35-59	Bundesweit	2012-W24	3358
306	2011/12	ARE	60+	Bundesweit	2012-W24	1460
547	2011/12	ARE	00+	Sueden	2012-W24	3185
933	2011/12	ARE	00+	Mitte (West)	2012-W24	4571
378	2011/12	ARE	00+	Norden (West)	2012-W24	4853
646	2011/12	ARE	00+	Osten	2012-W24	3395
1897	2011/12	ARE	15+	Bundesweit	2012-W24	3580
2504	2011/12	ARE	00+	Bundesweit	2012-W24	4013
607	2011/12	ARE	0-14	Bundesweit	2012-W24	6828
169	2011/12	ILI	0-4	Bundesweit	2012-W24	4954
438	2011/12	ILI	5-14	Bundesweit	2012-W24	2248
424	2011/12	ILI	15-34	Bundesweit	2012-W24	1031
1167	2011/12	ILI	35-59	Bundesweit	2012-W24	772
306	2011/12	ILI	60+	Bundesweit	2012-W24	0
547	2011/12	ILI	00+	Sueden	2012-W24	1092
933	2011/12	ILI	00+	Mitte (West)	2012-W24	839
378	2011/12	ILI	00+	Norden (West)	2012-W24	1451
646	2011/12	ILI	00+	Osten	2012-W24	667
1897	2011/12	ILI	15+	Bundesweit	2012-W24	612
2504	2011/12	ILI	00+	Bundesweit	2012-W24	944
607	2011/12	ILI	0-14	Bundesweit	2012-W24	3101
172	2011/12	ARE	0-4	Bundesweit	2012-W25	12107
439	2011/12	ARE	5-14	Bundesweit	2012-W25	5963
434	2011/12	ARE	15-34	Bundesweit	2012-W25	5303
1180	2011/12	ARE	35-59	Bundesweit	2012-W25	3592
294	2011/12	ARE	60+	Bundesweit	2012-W25	1136
561	2011/12	ARE	00+	Sueden	2012-W25	2966
929	2011/12	ARE	00+	Mitte (West)	2012-W25	3006
373	2011/12	ARE	00+	Norden (West)	2012-W25	5169
656	2011/12	ARE	00+	Osten	2012-W25	5392
1908	2011/12	ARE	15+	Bundesweit	2012-W25	3322
2519	2011/12	ARE	00+	Bundesweit	2012-W25	3922
611	2011/12	ARE	0-14	Bundesweit	2012-W25	7881
172	2011/12	ILI	0-4	Bundesweit	2012-W25	4479
439	2011/12	ILI	5-14	Bundesweit	2012-W25	1226
434	2011/12	ILI	15-34	Bundesweit	2012-W25	1108
1180	2011/12	ILI	35-59	Bundesweit	2012-W25	447
294	2011/12	ILI	60+	Bundesweit	2012-W25	0
561	2011/12	ILI	00+	Sueden	2012-W25	604
929	2011/12	ILI	00+	Mitte (West)	2012-W25	635
373	2011/12	ILI	00+	Norden (West)	2012-W25	1208
656	2011/12	ILI	00+	Osten	2012-W25	672
1908	2011/12	ILI	15+	Bundesweit	2012-W25	492
2519	2011/12	ILI	00+	Bundesweit	2012-W25	722
611	2011/12	ILI	0-14	Bundesweit	2012-W25	2241
160	2011/12	ARE	0-4	Bundesweit	2012-W26	6306
441	2011/12	ARE	5-14	Bundesweit	2012-W26	4303
441	2011/12	ARE	15-34	Bundesweit	2012-W26	4973
1203	2011/12	ARE	35-59	Bundesweit	2012-W26	3235
310	2011/12	ARE	60+	Bundesweit	2012-W26	1241
574	2011/12	ARE	00+	Sueden	2012-W26	2757
936	2011/12	ARE	00+	Mitte (West)	2012-W26	2888
391	2011/12	ARE	00+	Norden (West)	2012-W26	4062
654	2011/12	ARE	00+	Osten	2012-W26	4129
1954	2011/12	ARE	15+	Bundesweit	2012-W26	3108
2555	2011/12	ARE	00+	Bundesweit	2012-W26	3346
601	2011/12	ARE	0-14	Bundesweit	2012-W26	4926
160	2011/12	ILI	0-4	Bundesweit	2012-W26	4056
441	2011/12	ILI	5-14	Bundesweit	2012-W26	1204
441	2011/12	ILI	15-34	Bundesweit	2012-W26	1130
1203	2011/12	ILI	35-59	Bundesweit	2012-W26	742
310	2011/12	ILI	60+	Bundesweit	2012-W26	330
574	2011/12	ILI	00+	Sueden	2012-W26	190
936	2011/12	ILI	00+	Mitte (West)	2012-W26	608
391	2011/12	ILI	00+	Norden (West)	2012-W26	854
654	2011/12	ILI	00+	Osten	2012-W26	2027
1954	2011/12	ILI	15+	Bundesweit	2012-W26	724
2555	2011/12	ILI	00+	Bundesweit	2012-W26	902
601	2011/12	ILI	0-14	Bundesweit	2012-W26	2091
164	2011/12	ARE	0-4	Bundesweit	2012-W27	7291
440	2011/12	ARE	5-14	Bundesweit	2012-W27	5495
442	2011/12	ARE	15-34	Bundesweit	2012-W27	4647
1200	2011/12	ARE	35-59	Bundesweit	2012-W27	2623
315	2011/12	ARE	60+	Bundesweit	2012-W27	1295
589	2011/12	ARE	00+	Sueden	2012-W27	3764
921	2011/12	ARE	00+	Mitte (West)	2012-W27	3125
381	2011/12	ARE	00+	Norden (West)	2012-W27	2967
670	2011/12	ARE	00+	Osten	2012-W27	2960
1957	2011/12	ARE	15+	Bundesweit	2012-W27	2776
2561	2011/12	ARE	00+	Bundesweit	2012-W27	3209
604	2011/12	ARE	0-14	Bundesweit	2012-W27	6062
164	2011/12	ILI	0-4	Bundesweit	2012-W27	2970
440	2011/12	ILI	5-14	Bundesweit	2012-W27	978
442	2011/12	ILI	15-34	Bundesweit	2012-W27	329
1200	2011/12	ILI	35-59	Bundesweit	2012-W27	963
315	2011/12	ILI	60+	Bundesweit	2012-W27	806
589	2011/12	ILI	00+	Sueden	2012-W27	1466
921	2011/12	ILI	00+	Mitte (West)	2012-W27	678
381	2011/12	ILI	00+	Norden (West)	2012-W27	581
670	2011/12	ILI	00+	Osten	2012-W27	716
1957	2011/12	ILI	15+	Bundesweit	2012-W27	744
2561	2011/12	ILI	00+	Bundesweit	2012-W27	858
604	2011/12	ILI	0-14	Bundesweit	2012-W27	1607
170	2011/12	ARE	0-4	Bundesweit	2012-W28	9381
454	2011/12	ARE	5-14	Bundesweit	2012-W28	3965
443	2011/12	ARE	15-34	Bundesweit	2012-W28	7586
1230	2011/12	ARE	35-59	Bundesweit	2012-W28	3006
313	2011/12	ARE	60+	Bundesweit	2012-W28	1661
602	2011/12	ARE	00+	Sueden	2012-W28	5103
945	2011/12	ARE	00+	Mitte (West)	2012-W28	3775
388	2011/12	ARE	00+	Norden (West)	2012-W28	4725
675	2011/12	ARE	00+	Osten	2012-W28	3208
1986	2011/12	ARE	15+	Bundesweit	2012-W28	3842
2610	2011/12	ARE	00+	Bundesweit	2012-W28	4085
624	2011/12	ARE	0-14	Bundesweit	2012-W28	5665
170	2011/12	ILI	0-4	Bundesweit	2012-W28	2357
454	2011/12	ILI	5-14	Bundesweit	2012-W28	915
443	2011/12	ILI	15-34	Bundesweit	2012-W28	1702
1230	2011/12	ILI	35-59	Bundesweit	2012-W28	432
313	2011/12	ILI	60+	Bundesweit	2012-W28	0
602	2011/12	ILI	00+	Sueden	2012-W28	723
945	2011/12	ILI	00+	Mitte (West)	2012-W28	811
388	2011/12	ILI	00+	Norden (West)	2012-W28	507
675	2011/12	ILI	00+	Osten	2012-W28	800
1986	2011/12	ILI	15+	Bundesweit	2012-W28	646
2610	2011/12	ILI	00+	Bundesweit	2012-W28	743
624	2011/12	ILI	0-14	Bundesweit	2012-W28	1368
168	2011/12	ARE	0-4	Bundesweit	2012-W29	10134
436	2011/12	ARE	5-14	Bundesweit	2012-W29	4930
444	2011/12	ARE	15-34	Bundesweit	2012-W29	3506
1224	2011/12	ARE	35-59	Bundesweit	2012-W29	3100
311	2011/12	ARE	60+	Bundesweit	2012-W29	4369
594	2011/12	ARE	00+	Sueden	2012-W29	5379
925	2011/12	ARE	00+	Mitte (West)	2012-W29	3728
392	2011/12	ARE	00+	Norden (West)	2012-W29	3528
672	2011/12	ARE	00+	Osten	2012-W29	3349
1979	2011/12	ARE	15+	Bundesweit	2012-W29	3591
2583	2011/12	ARE	00+	Bundesweit	2012-W29	3984
604	2011/12	ARE	0-14	Bundesweit	2012-W29	6557
168	2011/12	ILI	0-4	Bundesweit	2012-W29	2386
436	2011/12	ILI	5-14	Bundesweit	2012-W29	602
444	2011/12	ILI	15-34	Bundesweit	2012-W29	410
1224	2011/12	ILI	35-59	Bundesweit	2012-W29	566
311	2011/12	ILI	60+	Bundesweit	2012-W29	1308
594	2011/12	ILI	00+	Sueden	2012-W29	276
925	2011/12	ILI	00+	Mitte (West)	2012-W29	377
392	2011/12	ILI	00+	Norden (West)	2012-W29	1031
672	2011/12	ILI	00+	Osten	2012-W29	1742
1979	2011/12	ILI	15+	Bundesweit	2012-W29	747
2583	2011/12	ILI	00+	Bundesweit	2012-W29	802
604	2011/12	ILI	0-14	Bundesweit	2012-W29	1160
171	2011/12	ARE	0-4	Bundesweit	2012-W30	10933
443	2011/12	ARE	5-14	Bundesweit	2012-W30	4832
449	2011/12	ARE	15-34	Bundesweit	2012-W30	5803
1229	2011/12	ARE	35-59	Bundesweit	2012-W30	2581
314	2011/12	ARE	60+	Bundesweit	2012-W30	2034
589	2011/12	ARE	00+	Sueden	2012-W30	6152
944	2011/12	ARE	00+	Mitte (West)	2012-W30	2738
394	2011/12	ARE	00+	Norden (West)	2012-W30	3999
679	2011/12	ARE	00+	Osten	2012-W30	2918
1992	2011/12	ARE	15+	Bundesweit	2012-W30	3295
2606	2011/12	ARE	00+	Bundesweit	2012-W30	3758
614	2011/12	ARE	0-14	Bundesweit	2012-W30	6758
171	2011/12	ILI	0-4	Bundesweit	2012-W30	3362
443	2011/12	ILI	5-14	Bundesweit	2012-W30	938
449	2011/12	ILI	15-34	Bundesweit	2012-W30	206
1229	2011/12	ILI	35-59	Bundesweit	2012-W30	710
314	2011/12	ILI	60+	Bundesweit	2012-W30	354
589	2011/12	ILI	00+	Sueden	2012-W30	1085
944	2011/12	ILI	00+	Mitte (West)	2012-W30	164
394	2011/12	ILI	00+	Norden (West)	2012-W30	1039
679	2011/12	ILI	00+	Osten	2012-W30	655
1992	2011/12	ILI	15+	Bundesweit	2012-W30	468
2606	2011/12	ILI	00+	Bundesweit	2012-W30	633
614	2011/12	ILI	0-14	Bundesweit	2012-W30	1703
167	2011/12	ARE	0-4	Bundesweit	2012-W31	3829
435	2011/12	ARE	5-14	Bundesweit	2012-W31	1575
442	2011/12	ARE	15-34	Bundesweit	2012-W31	2921
1221	2011/12	ARE	35-59	Bundesweit	2012-W31	1830
311	2011/12	ARE	60+	Bundesweit	2012-W31	765
563	2011/12	ARE	00+	Sueden	2012-W31	1708
939	2011/12	ARE	00+	Mitte (West)	2012-W31	1836
391	2011/12	ARE	00+	Norden (West)	2012-W31	2501
683	2011/12	ARE	00+	Osten	2012-W31	1699
1974	2011/12	ARE	15+	Bundesweit	2012-W31	1812
2576	2011/12	ARE	00+	Bundesweit	2012-W31	1874
602	2011/12	ARE	0-14	Bundesweit	2012-W31	2280
167	2011/12	ILI	0-4	Bundesweit	2012-W31	937
435	2011/12	ILI	5-14	Bundesweit	2012-W31	680
442	2011/12	ILI	15-34	Bundesweit	2012-W31	268
1221	2011/12	ILI	35-59	Bundesweit	2012-W31	369
311	2011/12	ILI	60+	Bundesweit	2012-W31	0
563	2011/12	ILI	00+	Sueden	2012-W31	104
939	2011/12	ILI	00+	Mitte (West)	2012-W31	297
391	2011/12	ILI	00+	Norden (West)	2012-W31	521
683	2011/12	ILI	00+	Osten	2012-W31	351
1974	2011/12	ILI	15+	Bundesweit	2012-W31	232
2576	2011/12	ILI	00+	Bundesweit	2012-W31	302
602	2011/12	ILI	0-14	Bundesweit	2012-W31	760
168	2011/12	ARE	0-4	Bundesweit	2012-W32	7537
439	2011/12	ARE	5-14	Bundesweit	2012-W32	5031
433	2011/12	ARE	15-34	Bundesweit	2012-W32	4650
1225	2011/12	ARE	35-59	Bundesweit	2012-W32	3186
312	2011/12	ARE	60+	Bundesweit	2012-W32	1747
557	2011/12	ARE	00+	Sueden	2012-W32	2339
946	2011/12	ARE	00+	Mitte (West)	2012-W32	3523
395	2011/12	ARE	00+	Norden (West)	2012-W32	5187
679	2011/12	ARE	00+	Osten	2012-W32	3491
1970	2011/12	ARE	15+	Bundesweit	2012-W32	3155
2577	2011/12	ARE	00+	Bundesweit	2012-W32	3510
607	2011/12	ARE	0-14	Bundesweit	2012-W32	5818
168	2011/12	ILI	0-4	Bundesweit	2012-W32	2517
439	2011/12	ILI	5-14	Bundesweit	2012-W32	883
433	2011/12	ILI	15-34	Bundesweit	2012-W32	1232
1225	2011/12	ILI	35-59	Bundesweit	2012-W32	624
312	2011/12	ILI	60+	Bundesweit	2012-W32	272
557	2011/12	ILI	00+	Sueden	2012-W32	576
946	2011/12	ILI	00+	Mitte (West)	2012-W32	938
395	2011/12	ILI	00+	Norden (West)	2012-W32	1442
679	2011/12	ILI	00+	Osten	2012-W32	326
1970	2011/12	ILI	15+	Bundesweit	2012-W32	684
2577	2011/12	ILI	00+	Bundesweit	2012-W32	779
607	2011/12	ILI	0-14	Bundesweit	2012-W32	1396
167	2011/12	ARE	0-4	Bundesweit	2012-W33	8445
441	2011/12	ARE	5-14	Bundesweit	2012-W33	5924
419	2011/12	ARE	15-34	Bundesweit	2012-W33	3957
1242	2011/12	ARE	35-59	Bundesweit	2012-W33	3046
311	2011/12	ARE	60+	Bundesweit	2012-W33	1897
564	2011/12	ARE	00+	Sueden	2012-W33	2857
945	2011/12	ARE	00+	Mitte (West)	2012-W33	2531
394	2011/12	ARE	00+	Norden (West)	2012-W33	3346
677	2011/12	ARE	00+	Osten	2012-W33	5374
1972	2011/12	ARE	15+	Bundesweit	2012-W33	2949
2580	2011/12	ARE	00+	Bundesweit	2012-W33	3453
608	2011/12	ARE	0-14	Bundesweit	2012-W33	6723
167	2011/12	ILI	0-4	Bundesweit	2012-W33	2166
441	2011/12	ILI	5-14	Bundesweit	2012-W33	1012
419	2011/12	ILI	15-34	Bundesweit	2012-W33	929
1242	2011/12	ILI	35-59	Bundesweit	2012-W33	413
311	2011/12	ILI	60+	Bundesweit	2012-W33	0
564	2011/12	ILI	00+	Sueden	2012-W33	413
945	2011/12	ILI	00+	Mitte (West)	2012-W33	451
394	2011/12	ILI	00+	Norden (West)	2012-W33	249
677	2011/12	ILI	00+	Osten	2012-W33	1019
1972	2011/12	ILI	15+	Bundesweit	2012-W33	429
2580	2011/12	ILI	00+	Bundesweit	2012-W33	556
608	2011/12	ILI	0-14	Bundesweit	2012-W33	1378
157	2011/12	ARE	0-4	Bundesweit	2012-W34	7871
440	2011/12	ARE	5-14	Bundesweit	2012-W34	3608
411	2011/12	ARE	15-34	Bundesweit	2012-W34	2413
1211	2011/12	ARE	35-59	Bundesweit	2012-W34	2304
304	2011/12	ARE	60+	Bundesweit	2012-W34	1617
565	2011/12	ARE	00+	Sueden	2012-W34	1997
917	2011/12	ARE	00+	Mitte (West)	2012-W34	2348
386	2011/12	ARE	00+	Norden (West)	2012-W34	2787
655	2011/12	ARE	00+	Osten	2012-W34	3009
1926	2011/12	ARE	15+	Bundesweit	2012-W34	2127
2523	2011/12	ARE	00+	Bundesweit	2012-W34	2503
597	2011/12	ARE	0-14	Bundesweit	2012-W34	4954
157	2011/12	ILI	0-4	Bundesweit	2012-W34	1222
440	2011/12	ILI	5-14	Bundesweit	2012-W34	325
411	2011/12	ILI	15-34	Bundesweit	2012-W34	142
1211	2011/12	ILI	35-59	Bundesweit	2012-W34	199
304	2011/12	ILI	60+	Bundesweit	2012-W34	288
565	2011/12	ILI	00+	Sueden	2012-W34	103
917	2011/12	ILI	00+	Mitte (West)	2012-W34	69
386	2011/12	ILI	00+	Norden (West)	2012-W34	440
655	2011/12	ILI	00+	Osten	2012-W34	580
1926	2011/12	ILI	15+	Bundesweit	2012-W34	210
2523	2011/12	ILI	00+	Bundesweit	2012-W34	263
597	2011/12	ILI	0-14	Bundesweit	2012-W34	608
152	2011/12	ARE	0-4	Bundesweit	2012-W35	6958
438	2011/12	ARE	5-14	Bundesweit	2012-W35	4664
404	2011/12	ARE	15-34	Bundesweit	2012-W35	6723
1208	2011/12	ARE	35-59	Bundesweit	2012-W35	2749
307	2011/12	ARE	60+	Bundesweit	2012-W35	2992
564	2011/12	ARE	00+	Sueden	2012-W35	4638
902	2011/12	ARE	00+	Mitte (West)	2012-W35	4334
382	2011/12	ARE	00+	Norden (West)	2012-W35	4563
661	2011/12	ARE	00+	Osten	2012-W35	3005
1919	2011/12	ARE	15+	Bundesweit	2012-W35	3897
2509	2011/12	ARE	00+	Bundesweit	2012-W35	4094
590	2011/12	ARE	0-14	Bundesweit	2012-W35	5387
152	2011/12	ILI	0-4	Bundesweit	2012-W35	2203
438	2011/12	ILI	5-14	Bundesweit	2012-W35	1095
404	2011/12	ILI	15-34	Bundesweit	2012-W35	1143
1208	2011/12	ILI	35-59	Bundesweit	2012-W35	431
307	2011/12	ILI	60+	Bundesweit	2012-W35	887
